drug_id,receptor,seed,started_at,finished_at,returncode,n_poses,status,receptor_sha256,ligand_sha256,command,output_sha256
lormetazepam,alpha1,2026091901,2026-09-20T18:42:31.743795+09:00,2026-09-20T18:42:40.212856+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha1/2026091901/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091901""]",04900879ba71ed3d9ffc7167e73f25e2f5619480982d193d9a4317351bad9a7e
lormetazepam,alpha1,2026091902,2026-09-20T18:42:31.842507+09:00,2026-09-20T18:42:40.409449+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha1/2026091902/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091902""]",9b9611baaa0e54a7f731f3e3499a6fe3d09edd49fa7e37db67da201d02409384
lormetazepam,alpha1,2026091903,2026-09-20T18:42:38.318463+09:00,2026-09-20T18:42:47.121689+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha1/2026091903/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091903""]",5341f9a15fdc4534bac352493379f998e16be545fe49ac51b2f8be80f3479338
lormetazepam,alpha1,2026091904,2026-09-20T18:42:39.684275+09:00,2026-09-20T18:42:48.697785+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha1/2026091904/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091904""]",0c3cd60cf33efbb668bdfca4e4ff6b60cd259eef5cf39dab7959d94d9641b82c
lormetazepam,alpha1,2026091905,2026-09-20T18:42:40.215632+09:00,2026-09-20T18:42:49.103802+09:00,0,9,success,1089f81e8bbc900a2522d34c5ed65a11c35f3c8046954386dafde623056a806a,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha1.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha1/2026091905/poses.pdbqt"", ""--center_x"", ""117.44499969482422"", ""--center_y"", ""157.46474990844726"", ""--center_z"", ""110.48740043640137"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091905""]",97fb339da5749aef1e91e68e52156e579e84744a1845ed8e64da0323ec1eeeee
lormetazepam,alpha2,2026091901,2026-09-20T18:42:40.412322+09:00,2026-09-20T18:42:50.281439+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha2/2026091901/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091901""]",43567909674ce27b3d68adae1840677c2744827d9fee4bf4e0ca486843133783
lormetazepam,alpha2,2026091902,2026-09-20T18:42:47.123951+09:00,2026-09-20T18:42:57.384127+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha2/2026091902/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091902""]",663aff101ef9dd481922d16253e2d2caec9bdcd4676c7915173922c62764bee1
lormetazepam,alpha2,2026091903,2026-09-20T18:42:48.700227+09:00,2026-09-20T18:42:58.832822+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha2/2026091903/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091903""]",bb909ff8efaedaebdc1de11214332cb12ad95eb2d7aeab7d91d58eb824f71ccd
lormetazepam,alpha2,2026091904,2026-09-20T18:42:49.106229+09:00,2026-09-20T18:42:59.244261+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha2/2026091904/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091904""]",42916ecf69caa237c51ab1a3ed61e8f19e1c32e62151aeee2a9224b517a87838
lormetazepam,alpha2,2026091905,2026-09-20T18:42:50.283351+09:00,2026-09-20T18:43:00.231402+09:00,0,9,success,c3bcd380238909d2b6c7cabc56ab6cb69e4f80613e7640cf760aa1f4a737ab87,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2,"[""/opt/homebrew/bin/vina"", ""--receptor"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/receptors/alpha2.pdbqt"", ""--ligand"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/repository/analysis/nishino2008_xmy_model_case/raw/ligands/lormetazepam.pdbqt"", ""--out"", ""/Users/k-atsumi/Documents/Codex/2026-09-20/new-chat/work/nishino_jobs/jobs/lormetazepam/alpha2/2026091905/poses.pdbqt"", ""--center_x"", ""143.42579952820148"", ""--center_y"", ""96.86254491988079"", ""--center_z"", ""139.9939981778101"", ""--size_x"", ""20.0"", ""--size_y"", ""20.0"", ""--size_z"", ""20.0"", ""--exhaustiveness"", ""8"", ""--num_modes"", ""9"", ""--energy_range"", ""4"", ""--cpu"", ""1"", ""--min_rmsd"", ""1.0"", ""--scoring"", ""vina"", ""--seed"", ""2026091905""]",577a8101606b1128b792ac674fd383ddffa9bab9478a597dd4ca396acaed5c92
