drug_id,molecule_chembl_id,canonical_smiles,standard_inchikey,source_file,source_sha256,source_run,rdkit_rotatable_bonds,pdbqt_branch_count,torsdof,torsion_qc,unassigned_stereocentres,stereochemistry_flag,formal_charge,mmff_converged,pdbqt_sha256
brotizolam,CHEMBL32479,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,UMSGKTJDUHERQW-UHFFFAOYSA-N,analysis/nishino2008_xmy_model_case/raw/chembl_brotizolam.json,aa50f00a6781654df87801fac708577a9b7caf519d23aa0826a9aa0acc34500b,analysis/nishino2008_xmy_model_case/data/preparation_identity_source.csv,1,1,1,consistent,[],no_unassigned_atom_stereocentre,0,True,06a126fbfa4b872d36fb41d9c2a896d6628b55658fb3ee360773a60c1575aae2
lormetazepam,CHEMBL22097,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,FJIKWRGCXUCUIG-UHFFFAOYSA-N,analysis/nishino2008_xmy_model_case/raw/chembl_lormetazepam.json,d9bc8239f319588a7b1056d14ae2ab83f2899234abd80e55828081a7631ff039,analysis/nishino2008_xmy_model_case/data/preparation_identity_source.csv,1,2,2,definition_difference_requires_review,[4],source_unspecified_single_sample_not_known_isomer,0,True,058d6446faace19ae9815dcd4620f33705d9e6014da6c780a788ff5a90e81ee2
