drug_id,alpha1_Ki,alpha2_Ki,alpha2_over_alpha1_ratio,log10_alpha2_over_alpha1_ratio,alpha1_Ki_raw_context_values,alpha2_Ki_raw_context_values,ratio_raw_context_values,comparison_context_count,composition_contexts,aggregation_rule,label_status
diazepam,14.0,20.0,1.4285714285714286,0.1549019599857432,14;14;14.3;13;13;13;14;14;31,20;20;26.2;6.6;6.6;33;20;20;22,1.42857;1.42857;1.83217;0.507692;0.507692;2.53846;1.42857;1.42857;0.709677,9,alpha1/beta2/gamma2 vs alpha2/beta2/gamma2;alpha1/beta3/gamma2 vs alpha2/beta3/gamma2,median across exact Tier-1 Ki contexts for label candidate; raw context values retained,candidate_only_not_primary_outcome
alprazolam,0.8,0.6,0.7499999999999999,-0.1249387366083,0.8,0.6,0.75,1,alpha1/beta2/gamma2 vs alpha2/beta2/gamma2,median across exact Tier-1 Ki contexts for label candidate; raw context values retained,candidate_only_not_primary_outcome
triazolam,0.8,0.59,0.7374999999999999,-0.1322379753497994,0.8,0.59,0.7375,1,alpha1/beta3/gamma2 vs alpha2/beta3/gamma2,median across exact Tier-1 Ki contexts for label candidate; raw context values retained,candidate_only_not_primary_outcome
zolpidem,27.0,156.0,5.842696629213483,0.7666133369898864,27;26.7;52.1;26.7;27;27;26.7,160;156;255.1;156;103;160;156,5.92593;5.8427;4.89635;5.8427;3.81481;5.92593;5.8427,7,alpha1/beta3/gamma2 vs alpha2/beta3/gamma2,median across exact Tier-1 Ki contexts for label candidate; raw context values retained,candidate_only_not_primary_outcome
