drug_id,input_drug_name,target_chembl_id,receptor_composition,alpha_subtype,beta_subtype,gamma_subtype,target_name,target_organism,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,document_chembl_id,activity_id,record_id,assay_description,document_journal,document_year,source_src_id
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Efficacy,=,160.0,%,,CHEMBL919090,B,CHEMBL1139460,1844059,630950,Efficacy at human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in Xenopus laevis oocytes by two electrode voltage clamp method relative to GABA,J Med Chem,2005,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Efficacy,=,123.0,%,,CHEMBL919091,B,CHEMBL1139460,1844073,630950,Efficacy at human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in Xenopus laevis oocytes by two electrode voltage clamp method relative to GABA,J Med Chem,2005,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,26.7,nM,7.57,CHEMBL1273615,B,CHEMBL1268934,3519533,965419,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,Bioorg Med Chem,2010,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,156.0,nM,6.81,CHEMBL1273616,B,CHEMBL1268934,3519534,965419,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,Bioorg Med Chem,2010,1
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,EC50,=,240.0,nM,6.62,CHEMBL3873362,B,CHEMBL3872231,16823503,2813268,Positive allosteric modulation of human recombinant GABA-A receptor alpha1beta2gamma2 expressed in HEK293 cells assessed as potentiation of of GABA induced chloride currents treated every 60 secs measured for 7 secs by electrophysiological method,Eur J Med Chem,2016,1
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,FC,=,2.5,,,CHEMBL3873363,B,CHEMBL3872231,16823507,2813268,Positive allosteric modulation of human recombinant GABA-A receptor alpha1beta2gamma2 expressed in HEK293 cells assessed as potentiation of of GABA induced chloride currents at 1 uM treated every 60 secs measured for 7 secs by electrophysiological method relative to GABA,Eur J Med Chem,2016,1
zolpidem,Zolpidem,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,gamma2,GABA A receptor alpha-2/beta-2/gamma-2,Homo sapiens,Efficacy,=,150.0,%,,CHEMBL824293,F,CHEMBL1130157,1106755,197828,Maximal potentiation of GABA-evoked Cl- currents in Xenopus oocytes expressing human alpha-2-beta-2-gamma-2 subunits,J Med Chem,1997,1
zolpidem,Zolpidem,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,gamma2,GABA A receptor alpha-2/beta-2/gamma-2,Homo sapiens,EC50,=,180.0,nM,6.75,CHEMBL824292,F,CHEMBL1130157,1106756,197828,Potentiation of GABA-evoked Cl- currents in Xenopus oocytes expressing human alpha-2-beta-2-gamma-2 subunits,J Med Chem,1997,1
zolpidem,Zolpidem,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,gamma2,GABA A receptor alpha-2/beta-2/gamma-2,Homo sapiens,Ki,=,408.0,nM,6.39,CHEMBL942241,B,CHEMBL1152298,2401380,803082,Displacement of [3H]Ro-151788 from benzodiazepine binding site of GABAA alpha-2-beta-2-gamma-2 receptor expressed in HEK293T cells,J Med Chem,2008,1
zaleplon,Zaleplon,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,EC50,=,1630.0,nM,5.79,CHEMBL2327958,B,CHEMBL2321869,12662653,1850407,Modulation of human GABAA alpha2beta3gamma2 expressed in xenopus oocytes assessed as potentiation of GABA-evoked chloride currents,J Med Chem,2013,1
zaleplon,Zaleplon,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,EC50,=,290.0,nM,6.54,CHEMBL2327959,B,CHEMBL2321869,12662654,1850407,Modulation of human GABA-A alpha1beta2gamma2 expressed in xenopus oocytes assessed as potentiation of GABA-evoked chloride currents,J Med Chem,2013,1
