drug_id,input_drug_name,target_chembl_id,receptor_composition,alpha_subtype,beta_subtype,gamma_subtype,target_name,target_organism,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,document_chembl_id,activity_id,record_id,assay_description,document_journal,document_year,source_src_id
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Change in Cl- current,=,1.0,,,CHEMBL681630,F,CHEMBL1132620,1145123,15634,In vitro GABA-mediated chloride current in A293 cells expressing GABA-A benzodiazepine receptor alpha-1-beta-2-gamma-2 subunits at 5 uM,J Med Chem,1999,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,13.0,nM,7.89,CHEMBL829006,B,CHEMBL1142695,1412501,363168,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric-acid A receptor alpha-1-beta-3-gamma-2 subtype expressed in L (tk-) cells,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,6.6,nM,8.18,CHEMBL829005,B,CHEMBL1142695,1412502,363168,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 subtype expressed in L (tk-) cells,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Efficacy,=,103.0,%,,CHEMBL836221,B,CHEMBL1142695,1412505,363168,Efficacy was measured as modulation of the current in response to GABA at hGABA alpha-1-beta-3-gamma-2 receptor expressed in Xenopus oocytes,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Efficacy,=,138.0,%,,CHEMBL836222,B,CHEMBL1142695,1412506,363168,Efficacy was measured as modulation of the current in response to GABA at hGABA alpha-2-beta-3-gamma-2 receptor expressed in Xenopus oocytes,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,13.0,nM,7.89,CHEMBL864002,B,CHEMBL1148587,1667045,417849,Displacement of [3H]-Ro15-1788 from human recombinant GABAA alpha1 in combination with beta-3-gamma-2 expressed in L(tk-) cells,J Med Chem,2006,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,6.6,nM,8.18,CHEMBL864003,B,CHEMBL1148587,1667046,417849,Displacement of [3H]-Ro15-1788 from human recombinant GABAA alpha2 in combination with beta3gamma2 expressed in L(tk-) cells,J Med Chem,2006,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Efficacy,=,103.0,%,,CHEMBL864006,F,CHEMBL1148587,1667049,417849,Efficacy against human recombinant GABAA alpha-1 in combination with beta3gamma2 expressed in L(tk-) cells by whole cell patch clamp method,J Med Chem,2006,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,13.0,nM,7.89,CHEMBL853068,B,CHEMBL1149444,1679889,426607,Displacement of [3H]Ro 15-1788 from recombinant human GABAA alpha-1 receptor plus beta3gamma2 expressed in L(tk-) cells,J Med Chem,2006,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,33.0,nM,7.48,CHEMBL853070,B,CHEMBL1149444,1679890,426607,Displacement of [3H] Ro15-1788 from recombinant human GABAA alpha2 receptor plus beta-3-gamma-2 expressed in L(tk-) cells,J Med Chem,2006,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Efficacy,=,0.93,%,,CHEMBL859118,F,CHEMBL1149444,1681580,426607,Efficacy against recombinant human GABAA alpha1 receptor plus beta3gamma2 expressed in L(tk-) cells by whole cell patch clamp method relative to chlordiazepoxide,J Med Chem,2006,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,14.0,nM,7.85,CHEMBL919087,B,CHEMBL1139460,1844027,630949,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in L(tk-) cells,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,20.0,nM,7.70,CHEMBL919088,B,CHEMBL1139460,1844028,630949,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in L(tk-) cells,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Efficacy,=,157.0,%,,CHEMBL919090,B,CHEMBL1139460,1844030,630949,Efficacy at human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in Xenopus laevis oocytes by two electrode voltage clamp method relative to GABA,J Med Chem,2005,1
