evidence_id,drug_id,input_drug_name,molecule_chembl_id,gtopdb_ligand_id,receptor_composition,target_id,target_name,target_type,species,metric,value,value_low,value_high,unit,assay,reference_id,PMID,DOI,reference,source_database,source_record_id,alpha_subtype,beta_subtype,gamma_subtype,other_subunits,duplicate_group_id,duplicate_candidate
chembl:28,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,5.4,,,nM,CHEMBL650874,CHEMBL1122390,,,CHEMBL1122390 J Med Chem 1983,ChEMBL,372154,,,,,,False
chembl:29,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Displacement,33.0,,,%,CHEMBL681560,CHEMBL1132818,,,CHEMBL1132818 Bioorg Med Chem Lett 2000,ChEMBL,389956,,,,,,False
chembl:30,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Displacement,25.0,,,%,CHEMBL681003,CHEMBL1132818,,,CHEMBL1132818 Bioorg Med Chem Lett 2000,ChEMBL,389957,,,,,,False
chembl:31,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Displacement,-13.0,,,%,CHEMBL681564,CHEMBL1132818,,,CHEMBL1132818 Bioorg Med Chem Lett 2000,ChEMBL,389958,,,,,,False
chembl:32,diazepam,Diazepam,CHEMBL12,,alpha1/beta2/gamma2,CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,GABA current,300.0,,,%,CHEMBL681621,CHEMBL1132818,,,CHEMBL1132818 Bioorg Med Chem Lett 2000,ChEMBL,389959,alpha1,beta2,gamma2,,,False
chembl:33,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,20.0,,,nM,CHEMBL681276,CHEMBL1132818,,,CHEMBL1132818 Bioorg Med Chem Lett 2000,ChEMBL,389960,,,,,,False
chembl:34,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,20.0,,,nM,CHEMBL681277,CHEMBL1132818,,,CHEMBL1132818 Bioorg Med Chem Lett 2000,ChEMBL,389961,,,,,,False
chembl:35,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,5.4,,,nM,CHEMBL650875,CHEMBL1122391,,,CHEMBL1122391 J Med Chem 1983,ChEMBL,422598,,,,,,False
chembl:36,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Bos taurus,Ki,10.0,,,nM,CHEMBL650821,CHEMBL1132244,,,CHEMBL1132244 J Med Chem 1999,ChEMBL,434675,,,,,,False
chembl:37,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Bos taurus,GR,1.5,,,,CHEMBL842877,CHEMBL1132244,,,CHEMBL1132244 J Med Chem 1999,ChEMBL,434676,,,,,,False
