drug,Ataxia,Balance disorder,Coordination abnormal,Gait disturbance,Fall,Somnolence,Sedation,Dizziness,Vertigo,Muscular weakness,Hypotonia,Amnesia,Memory impairment,Cognitive disorder
diazepam,1.7432409355600527,1.0296588944790876,1.4472063768972525,0.7543273613777952,0.8363116576433871,1.5159142836176152,2.0524339598014016,0.48428123353114927,0.8381554910130387,0.618132527320963,1.6514414147773468,1.1946359869317575,0.856243078081512,1.1127014279131284
alprazolam,0.8749964171405225,0.7992309188660318,0.7726707977348326,0.5959569981189823,0.8028190132101116,1.1486784792838254,1.3480578738364315,0.5190734896514968,0.7770282345230228,0.4735211154210912,0.7379302860797932,1.0837948676717932,0.8482317383062927,0.830612548893237
triazolam,1.6865410210244924,0.5829213342185433,NA,0.5484653466939395,0.8411387762322491,1.1310794451409993,0.9936157702436379,0.3537100581961212,0.5634052194718198,0.5019619560691542,NA,0.964651924140087,0.21665944763197764,0.7873475167709021
zolpidem,1.2864893986645853,0.6547479032255996,1.9545946516045642,0.4298310426140528,0.9958132173295127,1.1486907546034733,1.5323325082476948,0.28497107991515946,0.6336920987041612,0.7171765771722036,1.1148812626254845,1.506030298858441,0.6492217516661469,1.0405852801573783
lorazepam,1.6490313378829775,0.8961640084358731,1.1195345714817257,0.8113274336511367,0.8702953388176642,1.1973400297941978,1.9126008770021343,0.7021746987273421,0.5249901177374916,0.8092776476027144,0.8533633802110305,1.2676119597096207,0.9194398796332948,1.0677419821092453
clonazepam,1.7462926870502997,1.2903961838418194,1.571005386042435,0.9704937375491234,1.0300344062135718,1.370052428963218,1.9234553502235805,0.7062326249503901,0.7824854568975752,0.7851801328483834,1.1704109077232712,1.3177916973221002,1.087914715593012,1.2559832186993418
midazolam,1.1639459867974793,-0.2045072313156311,0.8930682886215138,-0.2746813883398147,-0.533253535640263,0.7544761244820855,1.739143554777133,-0.9009834271266914,-1.315688166171837,-0.2860137250750103,1.9615432509357547,0.3267325564622272,0.002055145204234776,1.184392757531839
temazepam,1.2439897372335924,1.0049136694974763,1.5532425864567792,0.869839558657473,1.0531772036892946,0.9920657991151938,1.4943911154406138,0.6544492504595727,0.6662395955053189,0.7830905940758264,0.0067075361900066355,1.1836249973951887,0.8820921898106189,0.9379621535897371
zopiclone,1.6673843604813676,1.0878717014596084,1.7441868383585053,0.9008080646549104,0.9629880611308419,1.5431182197852404,1.4979817325935318,0.6179820927459581,0.5809037130935213,1.096358615448155,1.079853399627762,1.5593804767679575,1.0637369105307855,1.229083416987372
zaleplon,NA,0.9159189890724022,NA,0.6434869541662476,1.2021824027371029,1.1486136428632445,1.9236473099827194,0.485551947436635,0.7963554898685299,0.26732875114647214,NA,0.3656397836150749,0.772909228708663,NA
