drug_id,input_drug_name,target_chembl_id,receptor_composition,alpha_subtype,beta_subtype,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,document_chembl_id,activity_id,record_id
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,EC50,=,35.0,nM,7.46,CHEMBL1638614,B,CHEMBL1629416,5118861,1314947
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,EC50,=,85.0,nM,7.07,CHEMBL1638613,B,CHEMBL1629416,5118869,1314947
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Activity,=,192.0,%,,CHEMBL1638608,B,CHEMBL1629416,5118876,1314947
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Activity,=,177.0,%,,CHEMBL1638609,B,CHEMBL1629416,5118880,1314947
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Activity,=,216.0,%,,CHEMBL4351505,A,CHEMBL4350959,19039236,3176269
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Activity,>,200.0,%,,CHEMBL4716913,B,CHEMBL4715701,22823128,3544766
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,EC50,=,100.0,nM,7.00,CHEMBL4716928,B,CHEMBL4715701,22823144,3544766
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Ki,=,14.0,nM,7.85,CHEMBL5146040,B,CHEMBL5143601,24843214,3880480
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Activity,,,,,CHEMBL5147905,B,CHEMBL5143681,24851231,3882147
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,31.0,nM,7.51,CHEMBL6080337,B,CHEMBL6078658,29082441,4664399
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,22.0,nM,7.66,CHEMBL6080338,B,CHEMBL6078658,29082452,4664399
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Activity,=,230.0,%,,CHEMBL6081996,B,CHEMBL6078707,29089227,4665695
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Activity,=,212.67,%,,CHEMBL6081998,B,CHEMBL6078707,29089238,4665695
diazepam,Diazepam,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,Ki,=,20.0,nM,7.70,CHEMBL5146041,B,CHEMBL5143601,24843235,3880480
alprazolam,Alprazolam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,Ki,=,0.8,nM,9.10,CHEMBL5146040,B,CHEMBL5143601,24843226,3880492
alprazolam,Alprazolam,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,Ki,=,0.6,nM,9.22,CHEMBL5146041,B,CHEMBL5143601,24843247,3880492
triazolam,Triazolam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,0.8,nM,9.10,CHEMBL678329,B,CHEMBL1132940,599586,343980
triazolam,Triazolam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,0.59,nM,9.23,CHEMBL681248,B,CHEMBL1132940,599587,343980
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,IC50,=,46.3,nM,7.33,CHEMBL678631,B,CHEMBL1130521,574083,131355
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,IC50,>=,10000.0,nM,,CHEMBL678631,B,CHEMBL1130521,574084,131355
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,27.0,nM,7.57,CHEMBL676826,B,CHEMBL1149126,595754,88527
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,160.0,nM,6.80,CHEMBL681841,B,CHEMBL1149126,595755,88527
