standard_type,activity_count
Ki,188
IC50,63
Activity,48
EC50,26
Efficacy,25
AC50,20
Ratio,11
Inhibition,10
GABA ratio,8
GABA shift,5
Kd,4
Displacement,3
ED50,2
ID50,2
TBPS shift,2
Change in Cl- current,2
Cl - current change,2
GS,2
Control,2
Clonazepam,1
FC,1
GR,1
Log IC50,1
Binding affinity,1
Shift,1
GABA current,1
[35S] TBPS shift,1
max activation,1
