drug_id,input_drug_name,target_label,target_chembl_id,target_pref_name,assay_chembl_id,assay_type,document_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_id,record_id
diazepam,Diazepam,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL6080338,B,CHEMBL6078658,Ki,=,22.0,nM,7.66,29082452,4664399
diazepam,Diazepam,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL682709,B,CHEMBL1148356,Ki,=,26.2,nM,7.58,667546,230415
diazepam,Diazepam,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL853070,B,CHEMBL1149444,Ki,=,33.0,nM,7.48,1679890,426607
diazepam,Diazepam,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL682708,B,CHEMBL1133060,Ki,=,6.6,nM,8.18,442387,43833
diazepam,Diazepam,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL829005,B,CHEMBL1142695,Ki,=,6.6,nM,8.18,1412502,363168
diazepam,Diazepam,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL864003,B,CHEMBL1148587,Ki,=,6.6,nM,8.18,1667046,417849
triazolam,Triazolam,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL678329,B,CHEMBL1132940,Ki,=,0.8,nM,9.10,599586,343980
triazolam,Triazolam,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL681248,B,CHEMBL1132940,Ki,=,0.59,nM,9.23,599587,343980
zaleplon,Zaleplon,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL2327958,B,CHEMBL2321869,EC50,=,1630.0,nM,5.79,12662653,1850407
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL677029,F,CHEMBL1148356,Efficacy,=,133.0,%,,662351,230416
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL919090,B,CHEMBL1139460,Efficacy,=,160.0,%,,1844059,630950
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL678329,B,CHEMBL1132940,Ki,=,26.7,nM,7.57,618407,343983
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL822162,B,CHEMBL1131013,Ki,=,26.7,nM,7.57,886261,154146
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1273615,B,CHEMBL1268934,Ki,=,26.7,nM,7.57,3519533,965419
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL676826,B,CHEMBL1149126,Ki,=,27.0,nM,7.57,595754,88527
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL829006,B,CHEMBL1142695,Ki,=,27.0,nM,7.57,1412600,363169
