drug,receptor_block,seed,pose_rank,vina_score_kcal_mol,rmsd_lb,rmsd_ub,source_file,rank1_score_kcal_mol,rank1_is_best,n_best_ties,n_poses_preserved,status
diazepam,alpha1,2026091901,1,-10.124,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,-10.124,True,1,9,ok
diazepam,alpha1,2026091902,1,-10.124,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,-10.124,True,1,9,ok
diazepam,alpha1,2026091903,1,-10.155,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,-10.155,True,1,9,ok
diazepam,alpha1,2026091904,1,-10.153,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,-10.153,True,1,9,ok
diazepam,alpha1,2026091905,1,-10.13,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,-10.13,True,1,9,ok
diazepam,alpha2,2026091901,1,-7.902,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,-7.902,True,1,9,ok
diazepam,alpha2,2026091902,1,-7.907,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,-7.907,True,1,9,ok
diazepam,alpha2,2026091903,1,-7.733,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,-7.733,True,1,9,ok
diazepam,alpha2,2026091904,1,-7.774,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,-7.774,True,1,9,ok
diazepam,alpha2,2026091905,1,-7.757,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,-7.757,True,1,9,ok
alprazolam,alpha1,2026091901,1,-10.585,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091901/poses.pdbqt,-10.585,True,1,8,ok
alprazolam,alpha1,2026091902,1,-10.575,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091902/poses.pdbqt,-10.575,True,1,7,ok
alprazolam,alpha1,2026091903,1,-10.589,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091903/poses.pdbqt,-10.589,True,1,7,ok
alprazolam,alpha1,2026091904,1,-10.581,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091904/poses.pdbqt,-10.581,True,1,7,ok
alprazolam,alpha1,2026091905,1,-10.574,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091905/poses.pdbqt,-10.574,True,1,6,ok
alprazolam,alpha2,2026091901,1,-7.657,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091901/poses.pdbqt,-7.657,True,1,9,ok
alprazolam,alpha2,2026091902,1,-7.65,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091902/poses.pdbqt,-7.65,True,1,9,ok
alprazolam,alpha2,2026091903,1,-7.656,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091903/poses.pdbqt,-7.656,True,1,9,ok
alprazolam,alpha2,2026091904,1,-7.657,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091904/poses.pdbqt,-7.657,True,1,9,ok
