receptor_block,clinical_term,n_effective,rho_raw_vina_score,rho_vina_favorability,missing_drug_count,included_drugs,excluded_drugs,status
alpha1,Ataxia,9,0.3666666666666667,-0.3666666666666667,1,"[""diazepam"", ""alprazolam"", ""triazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone""]","[""zaleplon""]",estimable
alpha1,Balance disorder,10,0.6606060606060605,-0.6606060606060605,0,"[""diazepam"", ""alprazolam"", ""triazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone"", ""zaleplon""]",[],estimable
alpha1,Coordination abnormal,8,0.3571428571428572,-0.3571428571428572,2,"[""diazepam"", ""alprazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone""]","[""triazolam"", ""zaleplon""]",estimable
alpha1,Gait disturbance,10,0.709090909090909,-0.709090909090909,0,"[""diazepam"", ""alprazolam"", ""triazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone"", ""zaleplon""]",[],estimable
alpha2,Ataxia,9,0.19999999999999998,-0.19999999999999998,1,"[""diazepam"", ""alprazolam"", ""triazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone""]","[""zaleplon""]",estimable
alpha2,Balance disorder,10,-0.2606060606060606,0.2606060606060606,0,"[""diazepam"", ""alprazolam"", ""triazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone"", ""zaleplon""]",[],estimable
alpha2,Coordination abnormal,8,0.0,0.0,2,"[""diazepam"", ""alprazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone""]","[""triazolam"", ""zaleplon""]",estimable
alpha2,Gait disturbance,10,0.006060606060606061,-0.006060606060606061,0,"[""diazepam"", ""alprazolam"", ""triazolam"", ""zolpidem"", ""lorazepam"", ""clonazepam"", ""midazolam"", ""temazepam"", ""zopiclone"", ""zaleplon""]",[],estimable
