drug,phenotype_axis,assay_name,species,strain,sex,administration_route,dose,dose_unit,observation_time,outcome_name,raw_value,raw_unit,control_value,sample_size,error_value,error_type,study_id,doi,pmid,source_url,source_table_figure,extraction_method,evidence_quality,notes,vehicle,co_treatment,acute_chronic,original_record,reported_direction,result_available,evidence_id
diazepam,P1,rotarod,mouse,ICR,male,oral,10.0,mg/kg,60.0,positive_or_fallen_mice,9.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:12,motor_impairment,True,Y0011
diazepam,P1,rotarod,mouse,ICR,male,oral,10.0,mg/kg,90.0,positive_or_fallen_mice,8.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:13,motor_impairment,True,Y0012
diazepam,P1,rotarod,mouse,ICR,male,oral,20.0,mg/kg,15.0,positive_or_fallen_mice,9.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:14,motor_impairment,True,Y0013
diazepam,P1,rotarod,mouse,ICR,male,oral,20.0,mg/kg,30.0,positive_or_fallen_mice,10.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:15,motor_impairment,True,Y0014
diazepam,P1,rotarod,mouse,ICR,male,oral,20.0,mg/kg,60.0,positive_or_fallen_mice,10.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:16,motor_impairment,True,Y0015
diazepam,P1,rotarod,mouse,ICR,male,oral,20.0,mg/kg,90.0,positive_or_fallen_mice,9.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:17,motor_impairment,True,Y0016
triazolam,P1,rotarod,mouse,ICR,male,oral,0.5,mg/kg,15.0,positive_or_fallen_mice,2.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:18,motor_impairment,True,Y0017
triazolam,P1,rotarod,mouse,ICR,male,oral,0.5,mg/kg,30.0,positive_or_fallen_mice,3.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:19,motor_impairment,True,Y0018
triazolam,P1,rotarod,mouse,ICR,male,oral,0.5,mg/kg,60.0,positive_or_fallen_mice,3.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:20,motor_impairment,True,Y0019
triazolam,P1,rotarod,mouse,ICR,male,oral,0.5,mg/kg,90.0,positive_or_fallen_mice,9.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:21,motor_impairment,True,Y0020
triazolam,P1,rotarod,mouse,ICR,male,oral,1.0,mg/kg,15.0,positive_or_fallen_mice,3.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:22,motor_impairment,True,Y0021
triazolam,P1,rotarod,mouse,ICR,male,oral,1.0,mg/kg,30.0,positive_or_fallen_mice,4.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:23,motor_impairment,True,Y0022
triazolam,P1,rotarod,mouse,ICR,male,oral,1.0,mg/kg,60.0,positive_or_fallen_mice,4.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:24,motor_impairment,True,Y0023
triazolam,P1,rotarod,mouse,ICR,male,oral,1.0,mg/kg,90.0,positive_or_fallen_mice,2.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:25,motor_impairment,True,Y0024
triazolam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,15.0,positive_or_fallen_mice,5.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:26,motor_impairment,True,Y0025
triazolam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,30.0,positive_or_fallen_mice,8.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:27,motor_impairment,True,Y0026
triazolam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,60.0,positive_or_fallen_mice,7.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:28,motor_impairment,True,Y0027
triazolam,P1,rotarod,mouse,ICR,male,oral,2.0,mg/kg,90.0,positive_or_fallen_mice,5.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:29,motor_impairment,True,Y0028
triazolam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,15.0,positive_or_fallen_mice,8.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:30,motor_impairment,True,Y0029
triazolam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,30.0,positive_or_fallen_mice,9.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:31,motor_impairment,True,Y0030
triazolam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,60.0,positive_or_fallen_mice,9.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:32,motor_impairment,True,Y0031
triazolam,P1,rotarod,mouse,ICR,male,oral,5.0,mg/kg,90.0,positive_or_fallen_mice,4.0,positive_mice_count,0.0,10.0,NA,archived_sd_unverified,Nishino2008,10.1254/jphs.08107FP,18603828,https://www.jstage.jst.go.jp/article/jphs/107/3/107_08107FP/_pdf,Table 1 p353; methods p349-350,archived extraction; source audit retained,exact_table_checked,Raw positive-count transcription; dose and time are not pooled across drugs.,0.5% CMC sodium,none,acute,archived_mouse_phenotype.csv:33,motor_impairment,True,Y0032
triazolam,P1,rotarod,mouse,ddY,male,intraperitoneal,0.3,mg/kg,15/30/60 min; qualitative aggregate,qualitative_motor_coordination_result,NA,qualitative,NA,6.0,NA,archived_sd_unverified,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Figure 1 / results p279,archived extraction; source audit retained,qualitative_primary,Same-study qualitative rotarod result; no numeric fraction inferred.,0.5% PPG,none,acute,archived_mouse_phenotype.csv:34,motor_coordination_impaired,True,Y0033
zolpidem,P1,rotarod,mouse,ddY,male,intraperitoneal,3.0,mg/kg,15/30/60 min; qualitative aggregate,qualitative_motor_coordination_result,NA,qualitative,NA,6.0,NA,archived_sd_unverified,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Figure 1 / results p279,archived extraction; source audit retained,qualitative_primary,Same-study qualitative rotarod result; no numeric fraction inferred.,saline,none,acute,archived_mouse_phenotype.csv:35,no_effect_under_test_condition,True,Y0034
zolpidem,P4,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,3.0,mg/kg,duration after thiopental,righting_reflex_duration,205.3,seconds_mean,113.1,7.0,62.6,SEM,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Table 1 p279,archived extraction; source audit retained,exact_table_checked,Supporting endpoint; not merged with rotarod values.,saline,thiopental 20 mg/kg IV 10 min after drug,acute,archived_mouse_phenotype.csv:36,sedation_duration,True,Y0035
zolpidem,P4,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,10.0,mg/kg,duration after thiopental,righting_reflex_duration,1109.1,seconds_mean,113.1,7.0,122.1,SEM,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Table 1 p279,archived extraction; source audit retained,exact_table_checked,Supporting endpoint; not merged with rotarod values.,saline,thiopental 20 mg/kg IV 10 min after drug,acute,archived_mouse_phenotype.csv:37,sedation_duration,True,Y0036
triazolam,P4,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,0.3,mg/kg,duration after thiopental,righting_reflex_duration,234.8,seconds_mean,117.3,7.0,39.5,SEM,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Table 1 p279,archived extraction; source audit retained,exact_table_checked,Supporting endpoint; not merged with rotarod values.,0.5% PPG,thiopental 20 mg/kg IV 10 min after drug,acute,archived_mouse_phenotype.csv:38,sedation_duration,True,Y0037
diazepam,P1,rotarod,mouse,not_reported_in_extracted_table,NA,not_reported_in_abstract,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,archived_sd_unverified,Bourin1992,NA,1637802,https://pubmed.ncbi.nlm.nih.gov/1637802/,abstract,archived extraction; source audit retained,qualitative_primary,Qualitative source evidence retained; no numeric value imputed.,NA,NA,NA,archived_mouse_phenotype.csv:39,single/repeated behavioral models; motor impairment reported,True,Y0038
alprazolam,P1,rotarod,mouse,not_reported_in_extracted_table,NA,not_reported_in_abstract,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,archived_sd_unverified,Bourin1992,NA,1637802,https://pubmed.ncbi.nlm.nih.gov/1637802/,abstract,archived extraction; source audit retained,qualitative_primary,Qualitative source evidence retained; no numeric value imputed.,NA,NA,NA,archived_mouse_phenotype.csv:40,myorelaxing/motor effects reported; no extracted numeric endpoint,True,Y0039
diazepam,P1,rotarod,mouse,not_reported_in_extracted_table,NA,not_reported_in_abstract,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,archived_sd_unverified,Bayley1996,10.1177/026988119601000305,22302946,https://pubmed.ncbi.nlm.nih.gov/22302946/,abstract,archived extraction; source audit retained,qualitative_primary,Qualitative source evidence retained; no numeric value imputed.,NA,NA,NA,archived_mouse_phenotype.csv:41,dose-related impairment in mice,True,Y0040
zolpidem,P1,rotarod,mouse,not_reported_in_extracted_table,NA,not_reported_in_abstract,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,archived_sd_unverified,Bayley1996,10.1177/026988119601000305,22302946,https://pubmed.ncbi.nlm.nih.gov/22302946/,abstract,archived extraction; source audit retained,qualitative_primary,Qualitative source evidence retained; no numeric value imputed.,NA,NA,NA,archived_mouse_phenotype.csv:42,dose-related impairment in mice,True,Y0041
alprazolam,P1,rotarod,mouse,not_reported_in_extracted_table,NA,not_reported_in_abstract,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,archived_sd_unverified,Henauer1984,10.1016/0024-3205(84)90564-2,6493004,https://pubmed.ncbi.nlm.nih.gov/6493004/,abstract,archived extraction; source audit retained,qualitative_primary,Qualitative source evidence retained; no numeric value imputed.,NA,NA,NA,archived_mouse_phenotype.csv:43,rotarod neurologic deficit at 2 mg/kg; tolerance study,True,Y0042
alprazolam,P3,open_field,mouse,not_reported_in_extracted_table,NA,not_reported_in_abstract,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,archived_sd_unverified,Lopez1988,10.1016/0091-3057(88)90488-1,2845448,https://pubmed.ncbi.nlm.nih.gov/2845448/,abstract,archived extraction; source audit retained,qualitative_primary,Qualitative source evidence retained; no numeric value imputed.,NA,NA,NA,archived_mouse_phenotype.csv:44,low-dose activity increase; higher doses decrease activity,True,Y0043
triazolam,P3,open_field,mouse,not_reported_in_extracted_table,NA,not_reported_in_abstract,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,archived_sd_unverified,Lopez1988,10.1016/0091-3057(88)90488-1,2845448,https://pubmed.ncbi.nlm.nih.gov/2845448/,abstract,archived extraction; source audit retained,qualitative_primary,Qualitative source evidence retained; no numeric value imputed.,NA,NA,NA,archived_mouse_phenotype.csv:45,activity decreased dose-dependently,True,Y0044
zopiclone,P4,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,3.0,mg/kg,duration after thiopental,righting_reflex_duration,146.3,seconds_mean,117.3,7.0,41.6,SEM,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Table1 p279,manual primary-source paraphrase,exact_table_checked,Different doses and vehicles prohibit primary cross-drug matching.,0.5% PPG,thiopental 20 mg/kg IV 10 min after drug,acute,NA,longer duration = more hypnosis,True,Y0045
zopiclone,P4,righting_reflex_with_thiopental,mouse,ddY,male,intraperitoneal,6.0,mg/kg,duration after thiopental,righting_reflex_duration,227.2,seconds_mean,117.3,9.0,67.4,SEM,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Table1 p279,manual primary-source paraphrase,exact_table_checked,Different doses and vehicles prohibit primary cross-drug matching.,0.5% PPG,thiopental 20 mg/kg IV 10 min after drug,acute,NA,longer duration = more hypnosis,True,Y0046
zolpidem,P2,traction,mouse,ddY,male,intraperitoneal,3.0,mg/kg,15/30/60 min; qualitative aggregate,qualitative_report,NA,qualitative,NA,6.0,NA,NA,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Figure1; results p279,manual primary-source paraphrase,qualitative_primary,Qualitative; no numerical zero inferred.,saline,none,acute,NA,no effect reported under tested conditions,True,Y0047
zopiclone,P1,rotarod,mouse,ddY,male,intraperitoneal,6.0,mg/kg,15/30/60 min; qualitative aggregate,qualitative_report,NA,qualitative,NA,6.0,NA,NA,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Figure1; results p279,manual primary-source paraphrase,qualitative_primary,Qualitative; no numerical zero inferred.,0.5% PPG,none,acute,NA,no effect reported under tested conditions,True,Y0048
zopiclone,P2,traction,mouse,ddY,male,intraperitoneal,6.0,mg/kg,15/30/60 min; qualitative aggregate,qualitative_report,NA,qualitative,NA,6.0,NA,NA,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Figure1; results p279,manual primary-source paraphrase,qualitative_primary,Qualitative; no numerical zero inferred.,0.5% PPG,none,acute,NA,no effect reported under tested conditions,True,Y0049
triazolam,P2,traction,mouse,ddY,male,intraperitoneal,0.3,mg/kg,15/30/60 min; qualitative aggregate,qualitative_report,NA,qualitative,NA,6.0,NA,NA,Tanaka2008,10.1254/jphs.FP0071991,18603831,https://www.jstage.jst.go.jp/article/jphs/107/3/107_FP0071991/_pdf,Figure1; results p279,manual primary-source paraphrase,qualitative_primary,Qualitative; no numerical zero inferred.,0.5% PPG,none,acute,NA,impairment reported,True,Y0050
zolpidem,P1,rotarod,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Sanger1996,10.1016/0014-2999(96)00510-9,8905326,https://pubmed.ncbi.nlm.nih.gov/8905326/,abstract,manual primary-source paraphrase,qualitative_primary,Abstract only. Loaded grid assigned P2 with mixed motor/strength construct warning; no exact dose/time extracted.,NA,NA,NA,NA,deficit / suppression reported,True,Y0051
zolpidem,P2,loaded_grid,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Sanger1996,10.1016/0014-2999(96)00510-9,8905326,https://pubmed.ncbi.nlm.nih.gov/8905326/,abstract,manual primary-source paraphrase,qualitative_primary,Abstract only. Loaded grid assigned P2 with mixed motor/strength construct warning; no exact dose/time extracted.,NA,NA,NA,NA,deficit / suppression reported,True,Y0052
zolpidem,P3,locomotor_activity,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Sanger1996,10.1016/0014-2999(96)00510-9,8905326,https://pubmed.ncbi.nlm.nih.gov/8905326/,abstract,manual primary-source paraphrase,qualitative_primary,Abstract only. Loaded grid assigned P2 with mixed motor/strength construct warning; no exact dose/time extracted.,NA,NA,NA,NA,deficit / suppression reported,True,Y0053
zaleplon,P1,rotarod,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Sanger1996,10.1016/0014-2999(96)00510-9,8905326,https://pubmed.ncbi.nlm.nih.gov/8905326/,abstract,manual primary-source paraphrase,qualitative_primary,Abstract only. Loaded grid assigned P2 with mixed motor/strength construct warning; no exact dose/time extracted.,NA,NA,NA,NA,deficit / suppression reported,True,Y0054
