pair_candidate_id,molecule_chembl_id,drug_id,recorded_context_key,alpha1_activity_ids,alpha2_activity_ids,alpha1_composition,alpha2_composition,species,endpoint_class,standard_type,standard_units,document_chembl_id,alpha1_assay_ids,alpha2_assay_ids,status
PAIR_20fb54d2bd102bc553dd,CHEMBL12,diazepam,"{""assay_detail_assay_cell_type"":""Oocyte"",""assay_detail_assay_organism"":""Homo sapiens"",""assay_detail_assay_parameters"":[],""assay_detail_assay_strain"":null,""assay_detail_assay_subcellular_fraction"":null,""assay_detail_assay_tissue"":null,""assay_detail_bao_format"":""BAO_0000219"",""assay_detail_relationship_type"":""D"",""assay_detail_variant_sequence"":null,""assay_type"":""F"",""derived_assay_class"":""functional"",""document_chembl_id"":""CHEMBL1148356"",""endpoint_class"":""functional_efficacy"",""endpoint_detail"":""response_not_established_emax"",""receptor_background"":""alphaX_beta3_gamma2"",""species"":""human"",""standard_relation"":""="",""standard_type"":""Efficacy"",""standard_units"":""%"",""subtype_masked_description"":""percent change in electrophysiological response in xenopus oocytes expressing alphaX-beta-3-gamma-2 gaba-a receptor"",""type"":""Efficacy"",""units"":""%""}",[667545],[667547],alpha1_beta3_gamma2,alpha2_beta3_gamma2,human,functional_efficacy,Efficacy,%,CHEMBL1148356,"[""CHEMBL677030""]","[""CHEMBL680445""]",recorded_context_candidate_unreported_conditions_not_verified
PAIR_a00fa33aa100605e97cb,CHEMBL12,diazepam,"{""assay_detail_assay_cell_type"":""HEK"",""assay_detail_assay_organism"":""Homo sapiens"",""assay_detail_assay_parameters"":[],""assay_detail_assay_strain"":null,""assay_detail_assay_subcellular_fraction"":""Cell membrane"",""assay_detail_assay_tissue"":null,""assay_detail_bao_format"":""BAO_0000249"",""assay_detail_relationship_type"":""D"",""assay_detail_variant_sequence"":null,""assay_type"":""B"",""derived_assay_class"":""binding"",""document_chembl_id"":""CHEMBL5143601"",""endpoint_class"":""binding"",""endpoint_detail"":""ki"",""receptor_background"":""alphaX_beta2_gamma2"",""species"":""human"",""standard_relation"":""="",""standard_type"":""Ki"",""standard_units"":""nM"",""subtype_masked_description"":""displacement of [3h]flunitrazepam from human recombinant alphaXbeta2gamma2 gabaa receptor expressed in hek cell membrane by competitive radioligand binding assay"",""type"":""Ki"",""units"":""nM""}",[24843214],[24843235],alpha1_beta2_gamma2,alpha2_beta2_gamma2,human,binding,Ki,nM,CHEMBL5143601,"[""CHEMBL5146040""]","[""CHEMBL5146041""]",recorded_context_candidate_unreported_conditions_not_verified
PAIR_f40769a4e6ad476ba686,CHEMBL12,diazepam,"{""assay_detail_assay_cell_type"":""LTK-"",""assay_detail_assay_organism"":""Homo sapiens"",""assay_detail_assay_parameters"":[],""assay_detail_assay_strain"":null,""assay_detail_assay_subcellular_fraction"":null,""assay_detail_assay_tissue"":null,""assay_detail_bao_format"":""BAO_0000219"",""assay_detail_relationship_type"":""D"",""assay_detail_variant_sequence"":null,""assay_type"":""B"",""derived_assay_class"":""binding"",""document_chembl_id"":""CHEMBL6078658"",""endpoint_class"":""binding"",""endpoint_detail"":""ki"",""receptor_background"":""alphaX_beta3_gamma2"",""species"":""human"",""standard_relation"":""="",""standard_type"":""Ki"",""standard_units"":""nM"",""subtype_masked_description"":""displacement of [3h]flumazenil from human recombinant alphaX-beta3-gamma2 gabaa receptors expressed in mouse ltk- cells incubated for 1 hr by liquid scintillation counter analysis"",""type"":""Ki"",""units"":""nM""}",[29082441],[29082452],alpha1_beta3_gamma2,alpha2_beta3_gamma2,human,binding,Ki,nM,CHEMBL6078658,"[""CHEMBL6080337""]","[""CHEMBL6080338""]",recorded_context_candidate_unreported_conditions_not_verified
PAIR_a00fa33aa100605e97cb,CHEMBL661,alprazolam,"{""assay_detail_assay_cell_type"":""HEK"",""assay_detail_assay_organism"":""Homo sapiens"",""assay_detail_assay_parameters"":[],""assay_detail_assay_strain"":null,""assay_detail_assay_subcellular_fraction"":""Cell membrane"",""assay_detail_assay_tissue"":null,""assay_detail_bao_format"":""BAO_0000249"",""assay_detail_relationship_type"":""D"",""assay_detail_variant_sequence"":null,""assay_type"":""B"",""derived_assay_class"":""binding"",""document_chembl_id"":""CHEMBL5143601"",""endpoint_class"":""binding"",""endpoint_detail"":""ki"",""receptor_background"":""alphaX_beta2_gamma2"",""species"":""human"",""standard_relation"":""="",""standard_type"":""Ki"",""standard_units"":""nM"",""subtype_masked_description"":""displacement of [3h]flunitrazepam from human recombinant alphaXbeta2gamma2 gabaa receptor expressed in hek cell membrane by competitive radioligand binding assay"",""type"":""Ki"",""units"":""nM""}",[24843226],[24843247],alpha1_beta2_gamma2,alpha2_beta2_gamma2,human,binding,Ki,nM,CHEMBL5143601,"[""CHEMBL5146040""]","[""CHEMBL5146041""]",recorded_context_candidate_unreported_conditions_not_verified
