receptor_block,comparison_id,receptor_composition,species,endpoint_class,endpoint,endpoint_detail,unit,relation,diazepam_value,alprazolam_value,drug_difference,difference_definition,diazepam_over_alprazolam_ratio,ratio_interpretation,document,document_title,document_doi,pharmacology_context_match_status,context_match_scope,matched_recorded_context,structure_pharmacology_context_match_status,structure_pharmacology_context_reasons,structural_receptor_composition,structural_scope,interpretation_limit,diazepam_activity_id,diazepam_molecule_chembl_id,diazepam_assay_chembl_id,diazepam_target_chembl_id,diazepam_document_chembl_id,diazepam_standard_type,diazepam_standard_value,diazepam_standard_relation,diazepam_standard_units,diazepam_relation,diazepam_units,diazepam_receptor_composition,diazepam_species,diazepam_target_organism,diazepam_assay_detail_assay_organism,diazepam_assay_detail_description,diazepam_assay_detail_assay_parameters,diazepam_source_file,diazepam_source_json_pointer,diazepam_source_sha256,alprazolam_activity_id,alprazolam_molecule_chembl_id,alprazolam_assay_chembl_id,alprazolam_target_chembl_id,alprazolam_document_chembl_id,alprazolam_standard_type,alprazolam_standard_value,alprazolam_standard_relation,alprazolam_standard_units,alprazolam_relation,alprazolam_units,alprazolam_receptor_composition,alprazolam_species,alprazolam_target_organism,alprazolam_assay_detail_assay_organism,alprazolam_assay_detail_description,alprazolam_assay_detail_assay_parameters,alprazolam_source_file,alprazolam_source_json_pointer,alprazolam_source_sha256
alpha1,CG_968b29c8291e85dfb3de,alpha1_beta2_gamma2,human,binding,Ki,ki,nM,=,14.0,0.8,-13.2,alprazolam_minus_diazepam,17.5,Ki(diazepam)/Ki(alprazolam); smaller Ki is higher reported binding affinity; no potency/efficacy conversion,CHEMBL5143601,Rationalizing the binding and α subtype selectivity of synthesized imidazodiazepines and benzodiazepines at GABAA receptors by using molecular docking studies.,10.1016/j.bmcl.2022.128637,exact_context_match,two drugs: exact recorded assay/document key; unreported conditions not independently verified,"{""assay_chembl_id"": ""CHEMBL5146040"", ""assay_detail_assay_organism"": ""Homo sapiens"", ""assay_detail_assay_parameters"": [], ""assay_detail_description"": ""Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay"", ""assay_detail_variant_sequence"": null, ""derived_assay_class"": ""binding"", ""document_chembl_id"": ""CHEMBL5143601"", ""endpoint_class"": ""binding"", ""endpoint_detail"": ""ki"", ""receptor_composition"": ""alpha1_beta2_gamma2"", ""species"": ""human"", ""standard_relation"": ""="", ""standard_type"": ""Ki"", ""standard_units"": ""nM"", ""target_chembl_id"": ""CHEMBL2095172"", ""type"": ""Ki"", ""units"": ""nM""}",context_mismatch,"[""receptor_composition_mismatch""]",alpha1_beta3_gamma2,full_pentamer_alpha1_beta3_gamma2L,No error estimates in selected records; numerical difference is not a significance test,24843214,CHEMBL12,CHEMBL5146040,CHEMBL2095172,CHEMBL5143601,Ki,14.0,=,nM,=,nM,alpha1_beta2_gamma2,human,Homo sapiens,Homo sapiens,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00011.json.gz,/activities/98,31e9d502b2591b5121d4b6dc5d4fc0ca74618d886fe42726d54cc520f9cdfeee,24843226,CHEMBL661,CHEMBL5146040,CHEMBL2095172,CHEMBL5143601,Ki,0.8,=,nM,=,nM,alpha1_beta2_gamma2,human,Homo sapiens,Homo sapiens,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00030.json.gz,/activities/4,1f2a21ede51498267446c620ef83b643ea5156e0291137a109651bd0b8f730b4
alpha2,CG_0e5315b4786b8b6e1906,alpha2_beta2_gamma2,human,binding,Ki,ki,nM,=,20.0,0.6,-19.4,alprazolam_minus_diazepam,33.33333333333333333333333333,Ki(diazepam)/Ki(alprazolam); smaller Ki is higher reported binding affinity; no potency/efficacy conversion,CHEMBL5143601,Rationalizing the binding and α subtype selectivity of synthesized imidazodiazepines and benzodiazepines at GABAA receptors by using molecular docking studies.,10.1016/j.bmcl.2022.128637,exact_context_match,two drugs: exact recorded assay/document key; unreported conditions not independently verified,"{""assay_chembl_id"": ""CHEMBL5146041"", ""assay_detail_assay_organism"": ""Homo sapiens"", ""assay_detail_assay_parameters"": [], ""assay_detail_description"": ""Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay"", ""assay_detail_variant_sequence"": null, ""derived_assay_class"": ""binding"", ""document_chembl_id"": ""CHEMBL5143601"", ""endpoint_class"": ""binding"", ""endpoint_detail"": ""ki"", ""receptor_composition"": ""alpha2_beta2_gamma2"", ""species"": ""human"", ""standard_relation"": ""="", ""standard_type"": ""Ki"", ""standard_units"": ""nM"", ""target_chembl_id"": ""CHEMBL2111413"", ""type"": ""Ki"", ""units"": ""nM""}",context_mismatch,"[""receptor_composition_mismatch""]",alpha2_beta3_gamma2,provisional_local_CDE_beta3_alpha2_gamma2,No error estimates in selected records; numerical difference is not a significance test,24843235,CHEMBL12,CHEMBL5146041,CHEMBL2111413,CHEMBL5143601,Ki,20.0,=,nM,=,nM,alpha2_beta2_gamma2,human,Homo sapiens,Homo sapiens,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00013.json.gz,/activities/20,8dd8bce91be6ccc884e2fef126e3663dd1a6acba39048c2a1feda8d8247ecb40,24843247,CHEMBL661,CHEMBL5146041,CHEMBL2111413,CHEMBL5143601,Ki,0.6,=,nM,=,nM,alpha2_beta2_gamma2,human,Homo sapiens,Homo sapiens,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],raw/responses/request_00031.json.gz,/activities/2,940669eaab00723cb678d606da81c8fc825f8c42b3ec92e21917635204d6d088
