drug_id,molecule_chembl_id,y_column,receptor_block,receptor_composition,species,endpoint_class,endpoint,value,unit,relation,assay_id,document_id,source_activity_id,target_id,assay_description,assay_parameters,source_run,acquisition_run,source_file,source_json_pointer,source_sha256,pharmacology_context_match_status,structure_pharmacology_context_match_status
diazepam,CHEMBL12,y|alpha1_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146040,alpha1,alpha1_beta2_gamma2,human,binding,Ki,14.0,nM,=,CHEMBL5146040,CHEMBL5143601,24843214,CHEMBL2095172,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],runs/20260918_1518_bzd_pharmacology_filter,runs/20260918_1117_chembl_acquisition,raw/responses/request_00011.json.gz,/activities/98,31e9d502b2591b5121d4b6dc5d4fc0ca74618d886fe42726d54cc520f9cdfeee,exact_context_match,context_mismatch
alprazolam,CHEMBL661,y|alpha1_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146040,alpha1,alpha1_beta2_gamma2,human,binding,Ki,0.8,nM,=,CHEMBL5146040,CHEMBL5143601,24843226,CHEMBL2095172,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],runs/20260918_1518_bzd_pharmacology_filter,runs/20260918_1117_chembl_acquisition,raw/responses/request_00030.json.gz,/activities/4,1f2a21ede51498267446c620ef83b643ea5156e0291137a109651bd0b8f730b4,exact_context_match,context_mismatch
diazepam,CHEMBL12,y|alpha2_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146041,alpha2,alpha2_beta2_gamma2,human,binding,Ki,20.0,nM,=,CHEMBL5146041,CHEMBL5143601,24843235,CHEMBL2111413,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],runs/20260918_1518_bzd_pharmacology_filter,runs/20260918_1117_chembl_acquisition,raw/responses/request_00013.json.gz,/activities/20,8dd8bce91be6ccc884e2fef126e3663dd1a6acba39048c2a1feda8d8247ecb40,exact_context_match,context_mismatch
alprazolam,CHEMBL661,y|alpha2_beta2_gamma2|human|binding|Ki|nM|CHEMBL5146041,alpha2,alpha2_beta2_gamma2,human,binding,Ki,0.6,nM,=,CHEMBL5146041,CHEMBL5143601,24843247,CHEMBL2111413,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,[],runs/20260918_1518_bzd_pharmacology_filter,runs/20260918_1117_chembl_acquisition,raw/responses/request_00031.json.gz,/activities/2,940669eaab00723cb678d606da81c8fc825f8c42b3ec92e21917635204d6d088,exact_context_match,context_mismatch
