left,right,distance,n_leaves
2,5,0.2867576298402624,2
1,10,0.33760270789998886,3
6,11,0.36851696345156865,4
0,12,0.43217780754970253,5
4,7,0.4750568516984877,2
13,14,0.5385244682037316,7
9,15,0.6000665758003587,8
3,16,0.8311762724314239,9
8,17,1.0020092132778071,10
