drug_id,molecule_chembl_id,receptor,endpoint_class,endpoint,value,unit,relation,receptor_composition,species,assay_id,target_id,document_id,activity_id,comparison_group_id,assay_description,assay_parameters,source_file,source_sha256,source_json_pointer,source_run,pharmacology_match,structure_pharmacology_match,availability
zopiclone,NA,alpha1,binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zopiclone,NA,alpha1,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zopiclone,NA,alpha1,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zopiclone,NA,alpha2,binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zopiclone,NA,alpha2,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zopiclone,NA,alpha2,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zaleplon,NA,alpha1,binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zaleplon,NA,alpha1,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zaleplon,NA,alpha1,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zaleplon,NA,alpha2,binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zaleplon,NA,alpha2,functional_potency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
zaleplon,NA,alpha2,functional_efficacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_assessed_missing_activity,no_matched_recorded_context_in_existing_filter
