left,right,distance,n_leaves
1,2,0.28974232912011777,2
4,5,0.43997755273829625,2
6,10,0.5639360996990835,3
7,12,0.6104092747815352,4
0,3,0.6138323251970282,2
11,13,0.6850993907436147,6
8,15,0.7689222136724759,7
9,14,0.8189613552143442,3
16,17,0.9738454318118949,10
