left,right,distance,n_leaves
1,2,0.4253259313705143,2
5,10,0.6689380223132084,3
6,11,0.7344954471757447,4
7,12,0.8095815307235936,5
4,13,0.8388379604112588,6
0,14,0.9407396804070748,7
3,9,0.9805516210182316,2
8,15,1.2316038687158517,8
16,17,1.3112507300783554,10
