drug_id,alpha1_cluster,alpha2_cluster,multireceptor_cluster,nearest_E_drug,nearest_E_distance,postfreeze_chemical_class,class_source,matched_pharmacology_records,matched_pharmacology_profile,mouse_P1_records,mouse_studies,functional_profile,assessment
diazepam,1,2,2,alprazolam,0.7726556313234068,BZD-like_7ring_2N,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,5,"[{""assay_id"": ""CHEMBL822941"", ""document_id"": ""CHEMBL1127312"", ""endpoint"": ""Ki"", ""receptor"": ""alpha1"", ""unit"": ""nM"", ""value"": ""16.0""}, {""assay_id"": ""CHEMBL680297"", ""document_id"": ""CHEMBL1145105"", ""endpoint"": ""Ki"", ""receptor"": ""alpha2"", ""unit"": ""nM"", ""value"": ""20.0""}, {""assay_id"": ""CHEMBL679467"", ""document_id"": ""CHEMBL1135690"", ""endpoint"": ""Ki"", ""receptor"": ""alpha1"", ""unit"": ""nM"", ""value"": ""14.0""}, {""assay_id"": ""CHEMBL5146040"", ""document_id"": ""CHEMBL5143601"", ""endpoint"": ""Ki"", ""receptor"": ""alpha1"", ""unit"": ""nM"", ""value"": ""14.0""}, {""assay_id"": ""CHEMBL5146041"", ""document_id"": ""CHEMBL5143601"", ""endpoint"": ""Ki"", ""receptor"": ""alpha2"", ""unit"": ""nM"", ""value"": ""20.0""}]",17,"[""Bayley1996"", ""Nishino2008""]",NA,external_coverage_insufficient_for_general_correspondence
alprazolam,1,1,2,triazolam,0.4253259313705143,BZD-like_7ring_2N,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,2,"[{""assay_id"": ""CHEMBL5146040"", ""document_id"": ""CHEMBL5143601"", ""endpoint"": ""Ki"", ""receptor"": ""alpha1"", ""unit"": ""nM"", ""value"": ""0.8""}, {""assay_id"": ""CHEMBL5146041"", ""document_id"": ""CHEMBL5143601"", ""endpoint"": ""Ki"", ""receptor"": ""alpha2"", ""unit"": ""nM"", ""value"": ""0.6""}]",0,NA,NA,external_coverage_insufficient_for_general_correspondence
triazolam,1,1,2,alprazolam,0.4253259313705143,BZD-like_7ring_2N,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,0,NA,18,"[""Nishino2008"", ""Tanaka2008""]",NA,external_coverage_insufficient_for_general_correspondence
zolpidem,2,2,1,zaleplon,0.9805516210182316,non-BZD_ring_topology,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,3,"[{""assay_id"": ""CHEMBL822941"", ""document_id"": ""CHEMBL1127312"", ""endpoint"": ""Ki"", ""receptor"": ""alpha1"", ""unit"": ""nM"", ""value"": ""19.0""}, {""assay_id"": ""CHEMBL680297"", ""document_id"": ""CHEMBL1145105"", ""endpoint"": ""Ki"", ""receptor"": ""alpha2"", ""unit"": ""nM"", ""value"": ""156.0""}, {""assay_id"": ""CHEMBL679467"", ""document_id"": ""CHEMBL1135690"", ""endpoint"": ""Ki"", ""receptor"": ""alpha1"", ""unit"": ""nM"", ""value"": ""26.7""}]",4,"[""Bayley1996"", ""Tanaka2008""]",NA,external_coverage_insufficient_for_general_correspondence
lorazepam,1,1,2,clonazepam,0.678778859968945,BZD-like_7ring_2N,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,0,NA,0,NA,NA,external_coverage_insufficient_for_general_correspondence
clonazepam,1,1,2,triazolam,0.6295268162244393,BZD-like_7ring_2N,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,0,NA,0,NA,NA,external_coverage_insufficient_for_general_correspondence
midazolam,1,1,2,triazolam,0.6495742467862176,BZD-like_7ring_2N,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,0,NA,0,NA,NA,external_coverage_insufficient_for_general_correspondence
temazepam,1,1,2,alprazolam,0.765085951364656,BZD-like_7ring_2N,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,0,NA,0,NA,NA,external_coverage_insufficient_for_general_correspondence
zopiclone,3,1,3,alprazolam,1.1343732723792619,non-BZD_ring_topology,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,0,NA,0,NA,NA,external_coverage_insufficient_for_general_correspondence
zaleplon,1,3,1,zolpidem,0.9805516210182316,non-BZD_ring_topology,post-freeze RDKit ring topology on archived ChEMBL SMILES; descriptive chemical annotation only,0,NA,0,NA,NA,external_coverage_insufficient_for_general_correspondence
