representation,drug_id,PC1,PC2,PC1_explained_variance,PC2_explained_variance
B_alpha1,diazepam,0.07901933182367019,-0.19490945060973494,0.4309877612415828,0.25535090464445215
B_alpha1,alprazolam,0.07079571907498097,-0.024143822288124988,0.4309877612415828,0.25535090464445215
B_alpha1,triazolam,-0.025926342111138284,-0.13054575684255065,0.4309877612415828,0.25535090464445215
B_alpha1,zolpidem,0.5052513542702399,0.4664259528517873,0.4309877612415828,0.25535090464445215
B_alpha1,lorazepam,-0.24839821717955035,-0.19504031897057095,0.4309877612415828,0.25535090464445215
B_alpha1,clonazepam,-0.022892203058719383,-0.08449550081458851,0.4309877612415828,0.25535090464445215
B_alpha1,midazolam,0.034803214268864395,-0.22681582185385876,0.4309877612415828,0.25535090464445215
B_alpha1,temazepam,0.03206704581476394,-0.12704922822665174,0.4309877612415828,0.25535090464445215
B_alpha1,zopiclone,-0.7258575786319447,0.4049773774408781,0.4309877612415828,0.25535090464445215
B_alpha1,zaleplon,0.30113767572883376,0.11159656931341544,0.4309877612415828,0.25535090464445215
B_alpha2,diazepam,0.3067317812887312,-0.06849901420217422,0.49583304534507866,0.15306324054047124
B_alpha2,alprazolam,-0.10541707616175815,-0.09597828398887268,0.49583304534507866,0.15306324054047124
B_alpha2,triazolam,-0.2782048410379112,0.028187095869963572,0.49583304534507866,0.15306324054047124
B_alpha2,zolpidem,0.4570461622982643,0.15929394156598475,0.49583304534507866,0.15306324054047124
B_alpha2,lorazepam,-0.5078398113797228,0.17992170643464328,0.49583304534507866,0.15306324054047124
B_alpha2,clonazepam,-0.4023314327613692,-0.027237843374581062,0.49583304534507866,0.15306324054047124
B_alpha2,midazolam,0.01724758938955075,0.348454774553057,0.49583304534507866,0.15306324054047124
B_alpha2,temazepam,-0.1699912886111482,0.07549133465588469,0.49583304534507866,0.15306324054047124
B_alpha2,zopiclone,-0.16566398580258967,-0.5343810140406213,0.49583304534507866,0.15306324054047124
B_alpha2,zaleplon,0.8484229027779525,-0.06525269747328463,0.49583304534507866,0.15306324054047124
E,diazepam,0.2792649922768563,-0.04212474837151059,0.40722547325606245,0.20096992026626326
E,alprazolam,-0.07085219415021503,-0.06708631790932272,0.40722547325606245,0.20096992026626326
E,triazolam,-0.2679055459131653,-0.19080194176850596,0.40722547325606245,0.20096992026626326
E,zolpidem,0.7374714271100918,0.05989904289115003,0.40722547325606245,0.20096992026626326
E,lorazepam,-0.5695772598467451,-0.1930848077234932,0.40722547325606245,0.20096992026626326
E,clonazepam,-0.34499506764282234,-0.1034753318364197,0.40722547325606245,0.20096992026626326
E,midazolam,0.021703601856751156,-0.36407627893880223,0.40722547325606245,0.20096992026626326
E,temazepam,-0.16865595530795155,-0.19003287325861795,0.40722547325606245,0.20096992026626326
E,zopiclone,-0.499718440823254,0.883274594585215,0.40722547325606245,0.20096992026626326
E,zaleplon,0.8832644424404533,0.20750866233030713,0.40722547325606245,0.20096992026626326
