drug_id,input_drug_name,molecule_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_chembl_id,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,document_chembl_id,document_journal,document_year,src_id,activity_id,record_id,assay_description,data_validity_comment,potential_duplicate,target_label,standard_value_num
diazepam,Diazepam,CHEMBL12,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL682709,B,Ki,=,26.2,nM,7.58,CHEMBL1148356,J Med Chem,2004,1,667546,230415,Binding affinity towards human gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 using [3H]Ro-151788 expressed in L(tk-) cells,,0,alpha2_beta3_gamma2,26.2
diazepam,Diazepam,CHEMBL12,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL864003,B,Ki,=,6.6,nM,8.18,CHEMBL1148587,J Med Chem,2006,1,1667046,417849,Displacement of [3H]-Ro15-1788 from human recombinant GABAA alpha2 in combination with beta3gamma2 expressed in L(tk-) cells,,1,alpha2_beta3_gamma2,6.6
diazepam,Diazepam,CHEMBL12,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL681841,B,Ki,=,20.0,nM,7.7,CHEMBL1149126,J Med Chem,2004,1,604851,88525,Binding affinity for human GABA-A receptor alpha-2-beta-3-gamma-2 subunits in L(tk-) cells,,1,alpha2_beta3_gamma2,20.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL853070,B,Ki,=,33.0,nM,7.48,CHEMBL1149444,J Med Chem,2006,1,1679890,426607,Displacement of [3H] Ro15-1788 from recombinant human GABAA alpha2 receptor plus beta-3-gamma-2 expressed in L(tk-) cells,,0,alpha2_beta3_gamma2,33.0
diazepam,Diazepam,CHEMBL12,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL6080338,B,Ki,=,22.0,nM,7.66,CHEMBL6078658,Bioorg Med Chem,2025,1,29082452,4664399,Displacement of [3H]flumazenil from human recombinant alpha2-beta3-gamma2 GABAA receptors expressed in mouse LTK- cells incubated for 1 hr by liquid scintillation counter analysis,,0,alpha2_beta3_gamma2,22.0
triazolam,Triazolam,CHEMBL646,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL678329,B,Ki,=,0.8,nM,9.1,CHEMBL1132940,J Med Chem,2000,1,599586,343980,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,,0,alpha1_beta3_gamma2,0.8
triazolam,Triazolam,CHEMBL646,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL681248,B,Ki,=,0.59,nM,9.23,CHEMBL1132940,J Med Chem,2000,1,599587,343980,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2,,0,alpha2_beta3_gamma2,0.59
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL822162,B,Ki,=,26.7,nM,7.57,CHEMBL1131013,J Med Chem,1998,1,886261,154146,Binding affinity measured using LtK- cell membranes expressing GABA alpha-1-beta-3-gamma-2 receptor,,0,alpha1_beta3_gamma2,26.7
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL678329,B,Ki,=,26.7,nM,7.57,CHEMBL1132940,J Med Chem,2000,1,618407,343983,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,,1,alpha1_beta3_gamma2,26.7
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL919087,B,Ki,=,27.0,nM,7.57,CHEMBL1139460,J Med Chem,2005,1,1844041,630950,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in L(tk-) cells,,1,alpha1_beta3_gamma2,27.0
