drug_id,alpha1_composition,alpha2_composition,alpha1_source,alpha2_source,metric,unit,same_beta_gamma,same_reference_or_assay,alpha1_species,alpha2_species,alpha1_value,alpha2_value,tier,alpha1_evidence_id,alpha2_evidence_id,ratio_alpha2_over_alpha1,log10_ratio,alpha1_reference_id,alpha1_assay,alpha1_reference,alpha1_target_name,alpha2_reference_id,alpha2_assay,alpha2_reference,alpha2_target_name,reference,assay_id,species_qc,composition_qc,metric_unit_qc,primary_inclusion
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,True,True,Homo sapiens,Homo sapiens,157.0,115.0,1,chembl:184,chembl:185,0.732484076433121,-0.1352018120556221,CHEMBL1139460,CHEMBL919090,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1139460,CHEMBL919091,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1139460,CHEMBL919090,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Activity,%,True,True,Homo sapiens,Homo sapiens,345.0,508.0,1,chembl:190,chembl:191,1.472463768115942,0.16804461721064515,CHEMBL1153371,CHEMBL960055,CHEMBL1153371 J Med Chem 2009,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1153371,CHEMBL960056,CHEMBL1153371 J Med Chem 2009,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1153371,CHEMBL960055,True,True,True,True
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,14.0,20.0,1,chembl:209,chembl:230,1.4285714285714286,0.1549019599857432,CHEMBL5143601,CHEMBL5146040,CHEMBL5143601 Bioorg Med Chem Lett 2022,GABA-A receptor; alpha-1/beta-2/gamma-2,CHEMBL5143601,CHEMBL5146041,CHEMBL5143601 Bioorg Med Chem Lett 2022,GABA A receptor alpha-2/beta-2/gamma-2,CHEMBL5143601,CHEMBL5146040,True,True,True,True
diazepam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,31.0,22.0,1,chembl:213,chembl:214,0.7096774193548387,-0.1489390130120664,CHEMBL6078658,CHEMBL6080337,CHEMBL6078658 Bioorg Med Chem 2025,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL6078658,CHEMBL6080338,CHEMBL6078658 Bioorg Med Chem 2025,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL6078658,CHEMBL6080337,True,True,True,True
triazolam,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,0.8,0.59,1,chembl:303,chembl:304,0.7374999999999999,-0.13223797534979945,CHEMBL1132940,CHEMBL678329,CHEMBL1132940 J Med Chem 2000,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1132940,CHEMBL681248,CHEMBL1132940 J Med Chem 2000,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1132940,CHEMBL678329,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,27.0,160.0,1,chembl:326,chembl:327,5.925925925925926,0.7727562184969374,CHEMBL1149126,CHEMBL676826,CHEMBL1149126 J Med Chem 2004,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1149126,CHEMBL681841,CHEMBL1149126 J Med Chem 2004,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1149126,CHEMBL676826,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,26.7,156.0,1,chembl:330,chembl:331,5.842696629213483,0.7666133369898864,CHEMBL1132940,CHEMBL678329,CHEMBL1132940 J Med Chem 2000,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1132940,CHEMBL681248,CHEMBL1132940 J Med Chem 2000,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1132940,CHEMBL678329,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,52.1,255.1,1,chembl:336,chembl:338,4.896353166986564,0.6898727353102655,CHEMBL1148356,CHEMBL677034,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1148356,CHEMBL682709,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1148356,CHEMBL677034,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,True,True,Homo sapiens,Homo sapiens,133.0,187.0,1,chembl:337,chembl:339,1.406015037593985,0.1479899655694132,CHEMBL1148356,CHEMBL677029,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1148356,CHEMBL877823,CHEMBL1148356 J Med Chem 2004,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1148356,CHEMBL677029,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,26.7,156.0,1,chembl:347,chembl:348,5.842696629213483,0.7666133369898864,CHEMBL1131013,CHEMBL822162,CHEMBL1131013 J Med Chem 1998,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1131013,CHEMBL824294,CHEMBL1131013 J Med Chem 1998,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1131013,CHEMBL822162,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,27.0,103.0,1,chembl:356,chembl:357,3.814814814814815,0.5814734605461849,CHEMBL1142695,CHEMBL829006,CHEMBL1142695 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1142695,CHEMBL829005,CHEMBL1142695 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1142695,CHEMBL829006,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,27.0,160.0,1,chembl:367,chembl:368,5.925925925925926,0.7727562184969374,CHEMBL1139460,CHEMBL919087,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1139460,CHEMBL919088,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1139460,CHEMBL919087,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,True,True,Homo sapiens,Homo sapiens,160.0,123.0,1,chembl:369,chembl:371,0.76875,-0.11421487121652682,CHEMBL1139460,CHEMBL919090,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1139460,CHEMBL919091,CHEMBL1139460 J Med Chem 2005,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1139460,CHEMBL919090,True,True,True,True
zolpidem,alpha1/beta3/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,True,True,Homo sapiens,Homo sapiens,26.7,156.0,1,chembl:376,chembl:377,5.842696629213483,0.7666133369898864,CHEMBL1268934,CHEMBL1273615,CHEMBL1268934 Bioorg Med Chem 2010,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL1268934,CHEMBL1273616,CHEMBL1268934 Bioorg Med Chem 2010,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1268934,CHEMBL1273615,True,True,True,True
