drug,adverse_event_term,phenotype_axis,report_count,total_drug_reports,background_event_reports,background_total,generic_only_total,role_cod,suspect_status,sex,age,country,report_date_quarter,seriousness,source_dataset,query,retrieval_date
diazepam,Amnesia,C6,1203,118049,63053,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22AMNESIA%22&limit=1,2026-09-20T01:53:12.036589+00:00
diazepam,Memory impairment,C6,1812,118049,132715,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22MEMORY+IMPAIRMENT%22&limit=1,2026-09-20T01:53:16.919365+00:00
diazepam,Cognitive disorder,C6,787,118049,44588,20018532,118049,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22DIAZEPAM%22+OR+patient.drug.medicinalproduct.exact%3A%22DIAZEPAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22COGNITIVE+DISORDER%22&limit=1,2026-09-20T01:53:24.615872+00:00
alprazolam,Ataxia,C1,272,200932,11464,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22ATAXIA%22&limit=1,2026-09-20T01:52:46.268620+00:00
alprazolam,Balance disorder,C1,1833,200932,83538,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22BALANCE+DISORDER%22&limit=1,2026-09-20T01:52:47.560973+00:00
alprazolam,Coordination abnormal,C1,293,200932,13648,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22COORDINATION+ABNORMAL%22&limit=1,2026-09-20T01:52:48.433367+00:00
alprazolam,Gait disturbance,C1,3327,200932,185496,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22GAIT+DISTURBANCE%22&limit=1,2026-09-20T01:52:49.698351+00:00
alprazolam,Fall,C2,6934,200932,319310,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22FALL%22&limit=1,2026-09-20T01:52:51.949858+00:00
alprazolam,Somnolence,C3,5867,200932,193065,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22SOMNOLENCE%22&limit=1,2026-09-20T01:52:56.381524+00:00
alprazolam,Sedation,C3,929,200932,24810,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22SEDATION%22&limit=1,2026-09-20T01:52:57.361706+00:00
alprazolam,Dizziness,C4,7879,200932,477766,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22DIZZINESS%22&limit=1,2026-09-20T01:53:00.952840+00:00
alprazolam,Vertigo,C4,1262,200932,58684,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22VERTIGO%22&limit=1,2026-09-20T01:53:03.450492+00:00
alprazolam,Muscular weakness,C5,1746,200932,109349,20018532,200932,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ALPRAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22ALPRAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22MUSCULAR+WEAKNESS%22&limit=1,2026-09-20T01:53:05.909738+00:00
