target_chembl_id,target_name,target_type,organism,receptor_subtype,target_class
CHEMBL4296056,Gamma-aminobutyric acid receptor subunit alpha-6/beta-2/delta,PROTEIN COMPLEX,Rattus norvegicus,alpha6/beta2/delta,composite_target
CHEMBL4296057,Gamma-aminobutyric acid receptor subunit alpha-5/beta-3,PROTEIN COMPLEX,Homo sapiens,alpha5/beta3,composite_target
CHEMBL4296058,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Mus musculus,alpha1/beta3/gamma2,composite_target
CHEMBL4296059,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Mus musculus,alpha1/beta2/gamma2,composite_target
CHEMBL4296060,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta3,composite_target
CHEMBL4296061,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3/delta,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta3/delta,composite_target
CHEMBL4296062,Gamma-aminobutyric acid receptor subunit alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta3/gamma2,composite_target
CHEMBL4296063,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta2,composite_target
CHEMBL4296064,Gamma-aminobutyric acid receptor subunit alpha-2/beta-3,PROTEIN COMPLEX,Homo sapiens,alpha2/beta3,composite_target
CHEMBL4523638,Gamma-aminobutyric acid receptor subunit alpha-1/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/gamma2,composite_target
CHEMBL4523639,Gamma-aminobutyric acid receptor subunit alpha-4/beta-1/delta,PROTEIN COMPLEX,Homo sapiens,alpha4/beta1/delta,composite_target
CHEMBL4523640,Gamma-aminobutyric acid receptor subunit alpha-4/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha4/beta2/gamma2,composite_target
CHEMBL4523641,Gamma-aminobutyric acid receptor subunit alpha-5/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha5/beta2/gamma2,composite_target
CHEMBL5291947,Gamma-aminobutyric acid receptor subunit alpha-1/alpha-6/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/alpha6/beta3/gamma2,composite_target
CHEMBL5291948,Gamma-aminobutyric acid receptor subunit alpha-6/beta-3/alpha-1,PROTEIN COMPLEX,Rattus norvegicus,alpha6/beta3/alpha1,composite_target
CHEMBL5291949,Gamma-aminobutyric acid receptor subunit alpha-2/beta-1/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta1/gamma2,composite_target
CHEMBL5291950,Gamma-aminobutyric acid receptor subunit gamma-2/beta-3,PROTEIN COMPLEX,Rattus norvegicus,gamma2/beta3,composite_target
