drug,alpha1_PLIF_reference,alpha1_median_Vina_score,alpha1_Vina_favorability,alpha2_PLIF_reference,alpha2_median_Vina_score,alpha2_Vina_favorability,ed50_mg_kg,ed50_ci_low,ed50_ci_high,rotarod_potency,interval_level,ed50_time_basis,logROR_ataxia,logROR_balance_disorder,logROR_coordination_abnormal,logROR_gait_disturbance,structural_completeness,M_completeness,Y_n_available,Y_completeness
diazepam,data/nishino_primary4_plif.csv#drug=diazepam;columns=alpha1|*,-10.13,10.13,data/nishino_primary4_plif.csv#drug=diazepam;columns=alpha2|*,-7.774,7.774,3.11,2.53,3.81,-0.4927603890268375,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,1.7432409355600529,1.0296588944790876,1.4472063768972523,0.7543273613777952,complete,complete_reported_values; ED50_time_basis_and_interval_level_unspecified,4,complete
triazolam,data/nishino_primary4_plif.csv#drug=triazolam;columns=alpha1|*,-10.887,10.887,data/nishino_primary4_plif.csv#drug=triazolam;columns=alpha2|*,-6.82,6.82,1.25,1.0,1.49,-0.0969100130080564,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,1.6865410210244924,0.5829213342185433,NA,0.5484653466939395,complete,complete_reported_values; ED50_time_basis_and_interval_level_unspecified,3,partial
brotizolam,data/nishino_primary4_plif.csv#drug=brotizolam;columns=alpha1|*,-10.215,10.215,data/nishino_primary4_plif.csv#drug=brotizolam;columns=alpha2|*,-6.968,6.968,5.76,5.45,9.12,-0.7604224834232121,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,1.006678463817579,-1.1379347886924318,NA,-0.0876445069817961,complete,complete_reported_values; ED50_time_basis_and_interval_level_unspecified,3,partial
lormetazepam,data/nishino_primary4_plif.csv#drug=lormetazepam;columns=alpha1|*,-8.857,8.857,data/nishino_primary4_plif.csv#drug=lormetazepam;columns=alpha2|*,-6.876,6.876,3.39,2.75,4.27,-0.5301996982030822,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,1.3627426209044504,0.9911142678796434,0.7013358468017383,-0.1184003171246175,complete,complete_reported_values; ED50_time_basis_and_interval_level_unspecified,4,complete
