drug,ed50_mg_kg,ed50_ci_low,ed50_ci_high,ed50_method,primary_model_case,exclusion_reason,interval_level,ed50_time_basis,source_reference,source_location,rotarod_potency
diazepam,3.11,2.53,3.81,reported probit; not refitted,True,,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,https://doi.org/10.1254/jphs.08107FP,Results pp350-351,-0.4927603890268375
triazolam,1.25,1.0,1.49,reported probit; not refitted,True,,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,https://doi.org/10.1254/jphs.08107FP,Results pp350-351,-0.09691001300805642
brotizolam,5.76,5.45,9.12,reported probit; not refitted,True,,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,https://doi.org/10.1254/jphs.08107FP,Results pp350-351,-0.7604224834232121
lormetazepam,3.39,2.75,4.27,reported probit; not refitted,True,,not explicitly specified in article,not explicitly specified; Results discuss 60 min immediately before ED50; not independently assumed,https://doi.org/10.1254/jphs.08107FP,Results pp350-351,-0.5301996982030822
