drug,canonical_smiles,source_database,source_identifier,standard_inchikey,structure_preparation_method,charge_method,notes,source_file,source_sha256
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,ChEMBL,CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,"ETKDGv3, randomSeed20260919, numThreads1, enforceChiralityTrue, useRandomCoordsFalse; MMFF94s maxIters2000; no fallback; convergence audited",Meeko 0.7.1 Gasteiger; as-recorded formal charge; no pH titration,"preserve specified; unspecified remains source-unspecified; one deterministic sampled 3D configuration, not a known stereoisomer or racemate ensemble",raw/responses/request_00009.json.gz,ee0b3e7e09eae193e3bf636a5cb5c4a51da08b78ecea76d2054664ee2f7a218e
triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,ChEMBL,CHEMBL646,JOFWLTCLBGQGBO-UHFFFAOYSA-N,"ETKDGv3, randomSeed20260919, numThreads1, enforceChiralityTrue, useRandomCoordsFalse; MMFF94s maxIters2000; no fallback; convergence audited",Meeko 0.7.1 Gasteiger; as-recorded formal charge; no pH titration,"preserve specified; unspecified remains source-unspecified; one deterministic sampled 3D configuration, not a known stereoisomer or racemate ensemble",raw/responses/request_00047.json.gz,41763168eb4ad3626548b65f25dae1d5987988d490ad2b2b5a690589b35a23a0
brotizolam,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,ChEMBL,CHEMBL32479,UMSGKTJDUHERQW-UHFFFAOYSA-N,"ETKDGv3, randomSeed20260919, numThreads1, enforceChiralityTrue, useRandomCoordsFalse; MMFF94s maxIters2000; no fallback; convergence audited",Meeko 0.7.1 Gasteiger; as-recorded formal charge; no pH titration,"preserve specified; unspecified remains source-unspecified; one deterministic sampled 3D configuration, not a known stereoisomer or racemate ensemble",analysis/nishino2008_xmy_model_case/raw/chembl_brotizolam.json,aa50f00a6781654df87801fac708577a9b7caf519d23aa0826a9aa0acc34500b
lormetazepam,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,ChEMBL,CHEMBL22097,FJIKWRGCXUCUIG-UHFFFAOYSA-N,"ETKDGv3, randomSeed20260919, numThreads1, enforceChiralityTrue, useRandomCoordsFalse; MMFF94s maxIters2000; no fallback; convergence audited",Meeko 0.7.1 Gasteiger; as-recorded formal charge; no pH titration,"preserve specified; unspecified remains source-unspecified; one deterministic sampled 3D configuration, not a known stereoisomer or racemate ensemble",analysis/nishino2008_xmy_model_case/raw/chembl_lormetazepam.json,d9bc8239f319588a7b1056d14ae2ab83f2899234abd80e55828081a7631ff039
