drug,receptor_block,n_seeds,median_best_seed_score,mean_best_seed_score,sd_best_seed_score,IQR_best_seed_score,min_best_seed_score,max_best_seed_score,vina_favorability
diazepam,alpha1,5,-10.13,-10.1372,0.015546703830715625,0.028999999999999915,-10.155,-10.124,10.13
diazepam,alpha2,5,-7.774,-7.8146,0.08336845926368096,0.14500000000000046,-7.907,-7.733,7.774
triazolam,alpha1,5,-10.887,-10.8818,0.009011104260854884,0.016000000000000014,-10.889,-10.871,10.887
triazolam,alpha2,5,-6.82,-6.8427999999999995,0.040825237292635416,0.052999999999999936,-6.901,-6.806,6.82
brotizolam,alpha1,5,-10.215,-10.2296,0.028936136576951838,0.05400000000000027,-10.262,-10.205,10.215
brotizolam,alpha2,5,-6.968,-6.9670000000000005,0.010246950765959554,0.007000000000000561,-6.976,-6.95,6.968
lormetazepam,alpha1,5,-8.857,-8.701,0.3488545542199499,0.009000000000000341,-8.862,-8.077,8.857
lormetazepam,alpha2,5,-6.876,-6.879,0.011269427669584409,0.0030000000000001137,-6.898,-6.868,6.876
