drug,receptor_block,seed,pose_rank,vina_score_kcal_mol,rmsd_lb,rmsd_ub,source_file,rank1_score_kcal_mol,rank1_is_best,n_best_ties,n_poses_preserved,status,best_pose_rank,best_vina_score_kcal_mol,source_pdbqt
diazepam,alpha1,2026091901,1,-10.124,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt,-10.124,True,1,9,ok,1,-10.124,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091901/poses.pdbqt
diazepam,alpha1,2026091902,1,-10.124,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt,-10.124,True,1,9,ok,1,-10.124,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091902/poses.pdbqt
diazepam,alpha1,2026091903,1,-10.155,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt,-10.155,True,1,9,ok,1,-10.155,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091903/poses.pdbqt
diazepam,alpha1,2026091904,1,-10.153,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt,-10.153,True,1,9,ok,1,-10.153,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091904/poses.pdbqt
diazepam,alpha1,2026091905,1,-10.13,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt,-10.13,True,1,9,ok,1,-10.13,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha1/2026091905/poses.pdbqt
diazepam,alpha2,2026091901,1,-7.902,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt,-7.902,True,1,9,ok,1,-7.902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091901/poses.pdbqt
diazepam,alpha2,2026091902,1,-7.907,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt,-7.907,True,1,9,ok,1,-7.907,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091902/poses.pdbqt
diazepam,alpha2,2026091903,1,-7.733,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt,-7.733,True,1,9,ok,1,-7.733,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091903/poses.pdbqt
diazepam,alpha2,2026091904,1,-7.774,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt,-7.774,True,1,9,ok,1,-7.774,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091904/poses.pdbqt
diazepam,alpha2,2026091905,1,-7.757,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt,-7.757,True,1,9,ok,1,-7.757,runs/20260919_0724_10drug_standardized_redocking/raw/archives/diazepam.tar.gz::diazepam/alpha2/2026091905/poses.pdbqt
