drug,receptor,seed,n_poses,sha256,source_pdbqt,reused
lormetazepam,alpha1,2026091901,9,04900879ba71ed3d9ffc7167e73f25e2f5619480982d193d9a4317351bad9a7e,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091901/poses.pdbqt,False
lormetazepam,alpha1,2026091902,9,9b9611baaa0e54a7f731f3e3499a6fe3d09edd49fa7e37db67da201d02409384,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091902/poses.pdbqt,False
lormetazepam,alpha1,2026091903,9,5341f9a15fdc4534bac352493379f998e16be545fe49ac51b2f8be80f3479338,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091903/poses.pdbqt,False
lormetazepam,alpha1,2026091904,9,0c3cd60cf33efbb668bdfca4e4ff6b60cd259eef5cf39dab7959d94d9641b82c,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091904/poses.pdbqt,False
lormetazepam,alpha1,2026091905,9,97fb339da5749aef1e91e68e52156e579e84744a1845ed8e64da0323ec1eeeee,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha1/2026091905/poses.pdbqt,False
lormetazepam,alpha2,2026091901,9,43567909674ce27b3d68adae1840677c2744827d9fee4bf4e0ca486843133783,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha2/2026091901/poses.pdbqt,False
lormetazepam,alpha2,2026091902,9,663aff101ef9dd481922d16253e2d2caec9bdcd4676c7915173922c62764bee1,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha2/2026091902/poses.pdbqt,False
lormetazepam,alpha2,2026091903,9,bb909ff8efaedaebdc1de11214332cb12ad95eb2d7aeab7d91d58eb824f71ccd,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha2/2026091903/poses.pdbqt,False
lormetazepam,alpha2,2026091904,9,42916ecf69caa237c51ab1a3ed61e8f19e1c32e62151aeee2a9224b517a87838,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha2/2026091904/poses.pdbqt,False
lormetazepam,alpha2,2026091905,9,577a8101606b1128b792ac674fd383ddffa9bab9478a597dd4ca396acaed5c92,raw/archives/lormetazepam.tar.gz::lormetazepam/alpha2/2026091905/poses.pdbqt,False
