target_chembl_id,pref_name,scope
CHEMBL5291947,Gamma-aminobutyric acid receptor subunit alpha-1/alpha-6/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL5291948,Gamma-aminobutyric acid receptor subunit alpha-6/beta-3/alpha-1,gabaa_related_site_unverified
CHEMBL5291949,Gamma-aminobutyric acid receptor subunit alpha-2/beta-1/gamma-2,gabaa_related_site_unverified
CHEMBL5291950,Gamma-aminobutyric acid receptor subunit gamma-2/beta-3,gabaa_related_site_unverified
CHEMBL5303741,Gamma-aminobutyric acid receptor subunit alpha-1/alpha-2/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL1907597,GABA-A receptor; GABA-A site (alpha1/beta2 interface),gabaa_related_site_unverified
CHEMBL1907607,GABA-A receptor; anion channel,gabaa_related_site_unverified
CHEMBL2093872,GABA-A receptor; anion channel,gabaa_related_site_unverified
CHEMBL2094107,GABA-A receptor; anion channel,gabaa_related_site_unverified
CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL2094133,GABA-A receptor; anion channel,gabaa_related_site_unverified
CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2095190,GABA-A receptor; alpha-6/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL2109243,GABA-A receptor; benzodiazepine site,gabaa_related_site_unverified
CHEMBL2109244,GABA-A receptor; agonist GABA site,gabaa_related_site_unverified
CHEMBL2364024,GABA-A receptor,gabaa_related_site_unverified
CHEMBL2364025,GABA-A receptor,gabaa_related_site_unverified
CHEMBL2364676,Nematode GABA-A receptor,gabaa_related_site_unverified
CHEMBL4106151,GABA-A receptor alpha-1/beta-3,gabaa_related_site_unverified
CHEMBL4106157,GABA-A receptor alpha-4/beta-3/delta,gabaa_related_site_unverified
CHEMBL4680049,GABA-A receptor alpha-1/beta-1,gabaa_related_site_unverified
