activity_id,qc_flags,molecule_chembl_id,source_request_id,source_json_pointer
507139,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/46
507140,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/47
507141,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/48
534900,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/49
548914,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/50
548915,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/51
548924,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/52
551295,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/53
582658,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/54
582659,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/55
599580,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/56
599581,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/57
599582,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/58
599583,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/59
599584,"[""censored_or_nonexact_relation"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/60
604850,"[""source_potential_duplicate"", ""assay_target_subunit_text_discrepancy_review"", ""assay_target_subunit_conflict_review"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/61
604851,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/62
604852,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/63
604853,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/64
667542,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/65
667543,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/66
667544,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/67
667545,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/68
667546,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/69
667547,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/70
667548,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/71
667549,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/72
701710,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/73
701711,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/74
701712,"[""missing_standard_units"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/75
706337,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/76
706569,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/77
708685,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/78
709826,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/79
709827,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/80
718805,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/81
755415,"[""missing_standard_value"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/82
755416,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/83
759911,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/84
761200,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/85
788043,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/86
792162,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/87
792163,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/88
792164,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/89
792165,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/90
807849,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/91
807850,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/92
807851,"[""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/93
863588,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/94
863591,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/95
863592,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/96
866191,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/97
870546,"[""censored_or_nonexact_relation"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/98
